case_id,activity,timestamp,resource
C009,검토,2026-06-07 23:22,김주임
C009,승인,2026-06-08 00:07,김주임
C009,통보,2026-06-08 00:42,김주임
C010,접수,2026-06-29 13:00,이대리
C010,검토,2026-06-29 14:14,이대리
C010,보완요청,2026-06-29 15:32,이대리
C010,재접수,2026-06-29 22:21,이대리
C010,검토,2026-06-30 01:33,이대리
C010,승인,2026-06-30 02:29,이대리
C010,통보,2026-06-30 02:45,이대리
C011,접수,2026-07-11 13:00,이대리
C011,검토,2026-07-11 14:58,이대리
C011,승인,2026-07-11 15:47,이대리
C011,통보,2026-07-11 16:38,이대리
C012,접수,2026-06-26 09:00,이대리
C012,검토,2026-06-26 12:13,이대리
C012,승인,2026-06-26 15:11,이대리
C012,통보,2026-06-26 15:27,이대리
C013,접수,2026-07-03 14:00,이대리
C013,검토,2026-07-03 15:18,이대리
C013,보완요청,2026-07-03 15:42,이대리
C013,재접수,2026-07-04 20:10,이대리
C013,검토,2026-07-04 22:41,이대리
C013,승인,2026-07-05 01:17,이대리
C013,통보,2026-07-05 01:35,이대리
C014,접수,2026-06-01 09:00,김주임
C014,검토,2026-06-01 09:33,김주임
C014,승인,2026-06-01 13:15,김주임
C014,통보,2026-06-01 13:27,김주임
C015,접수,2026-06-26 14:00,이대리
C015,검토,2026-06-26 15:34,이대리
C015,승인,2026-06-26 20:32,이대리
C015,통보,2026-06-26 21:00,이대리
C016,접수,2026-07-10 15:00,이대리
C016,검토,2026-07-10 16:07,이대리
C016,승인,2026-07-10 18:26,이대리
C016,통보,2026-07-10 18:59,이대리
C017,접수,2026-07-04 14:00,박과장
C017,검토,2026-07-04 17:05,박과장
C017,보완요청,2026-07-04 18:25,박과장
C017,재접수,2026-07-05 09:46,박과장
C017,검토,2026-07-05 11:26,박과장
C017,승인,2026-07-05 14:38,박과장
C017,통보,2026-07-05 14:51,박과장
C018,접수,2026-06-22 13:00,박과장
C018,검토,2026-06-22 13:32,박과장
C018,보완요청,2026-06-22 14:03,박과장
C018,재접수,2026-06-23 23:15,박과장
C018,검토,2026-06-24 02:56,박과장
C018,승인,2026-06-24 06:41,박과장
C018,통보,2026-06-24 06:55,박과장
C019,접수,2026-07-05 14:00,박과장
C019,검토,2026-07-05 14:52,박과장
C019,보완요청,2026-07-05 15:33,박과장
C019,재접수,2026-07-06 18:20,박과장
C019,검토,2026-07-06 19:56,박과장
C019,승인,2026-07-06 23:12,박과장
C019,통보,2026-07-07 00:07,박과장
C020,접수,2026-06-19 12:00,김주임
C020,검토,2026-06-19 14:28,김주임
C020,승인,2026-06-19 17:11,김주임
C020,통보,2026-06-19 18:09,김주임
C021,접수,2026-06-27 15:00,이대리
C021,검토,2026-06-27 17:55,이대리
C021,승인,2026-06-27 19:50,이대리
C021,통보,2026-06-27 20:25,이대리
C022,접수,2026-06-20 14:00,박과장
C022,검토,2026-06-20 17:30,박과장
C022,승인,2026-06-20 18:13,박과장
C022,통보,2026-06-20 18:49,박과장
C023,접수,2026-06-20 10:00,김주임
C023,검토,2026-06-20 11:06,김주임
C023,보완요청,2026-06-20 12:11,김주임
C023,재접수,2026-06-21 01:48,김주임
C023,검토,2026-06-21 04:29,김주임
C023,승인,2026-06-21 07:29,김주임
C023,통보,2026-06-21 08:10,김주임
C024,접수,2026-06-28 12:00,이대리
C024,검토,2026-06-28 15:36,이대리
C024,보완요청,2026-06-28 16:57,이대리
C024,재접수,2026-06-29 10:46,이대리
C024,검토,2026-06-29 14:45,이대리
C024,승인,2026-06-29 16:44,이대리
C024,통보,2026-06-29 17:37,이대리
C025,접수,2026-06-28 14:00,김주임
C025,검토,2026-06-28 17:56,김주임
C025,보완요청,2026-06-28 19:22,김주임
C025,재접수,2026-06-30 12:16,김주임
C025,검토,2026-06-30 14:54,김주임
C025,보완요청,2026-06-30 15:36,김주임
C025,재접수,2026-07-02 06:16,김주임
C025,검토,2026-07-02 09:20,김주임
C025,승인,2026-07-02 11:56,김주임
C025,통보,2026-07-02 12:14,김주임
C026,접수,2026-06-23 15:00,박과장
C026,검토,2026-06-23 18:47,박과장
C026,승인,2026-06-23 20:26,박과장
C026,통보,2026-06-23 20:46,박과장
C027,접수,2026-06-06 11:00,박과장
C027,검토,2026-06-06 14:38,박과장
C027,승인,2026-06-06 17:46,박과장
C027,통보,2026-06-06 18:25,박과장
C028,접수,2026-06-22 11:00,김주임
C028,검토,2026-06-22 14:10,김주임
C028,승인,2026-06-22 15:39,김주임
C028,통보,2026-06-22 16:37,김주임
C029,접수,2026-06-24 12:00,이대리
C029,검토,2026-06-24 14:59,이대리
C029,보완요청,2026-06-24 15:56,이대리
C029,재접수,2026-06-25 13:24,이대리
C029,검토,2026-06-25 16:41,이대리
C029,승인,2026-06-25 19:12,이대리
C029,통보,2026-06-25 19:25,이대리
C030,접수,2026-07-03 12:00,박과장
C030,검토,2026-07-03 14:35,박과장
C030,승인,2026-07-03 16:38,박과장
C030,통보,2026-07-03 17:31,박과장
C031,접수,2026-06-18 09:00,이대리
C031,검토,2026-06-18 12:24,이대리
C031,보완요청,2026-06-18 13:04,이대리
C031,재접수,2026-06-19 04:24,이대리
C031,검토,2026-06-19 06:21,이대리
C031,보완요청,2026-06-19 07:42,이대리
C031,재접수,2026-06-20 22:26,이대리
C031,검토,2026-06-21 01:27,이대리
C031,승인,2026-06-21 02:21,이대리
C031,통보,2026-06-21 03:01,이대리
C032,접수,2026-06-28 12:00,박과장
C032,검토,2026-06-28 15:47,박과장
C032,승인,2026-06-28 18:18,박과장
C032,통보,2026-06-28 19:04,박과장
C033,접수,2026-06-01 15:00,김주임
C033,검토,2026-06-01 15:45,김주임
C033,보완요청,2026-06-01 16:27,김주임
C033,재접수,2026-06-01 22:25,김주임
C033,검토,2026-06-02 01:07,김주임
C033,보완요청,2026-06-02 01:36,김주임
C033,재접수,2026-06-03 01:33,김주임
C033,검토,2026-06-03 03:18,김주임
C033,승인,2026-06-03 04:07,김주임
C033,통보,2026-06-03 05:07,김주임
C034,접수,2026-06-15 14:00,이대리
C034,검토,2026-06-15 15:55,이대리
C034,승인,2026-06-15 16:25,이대리
C034,통보,2026-06-15 16:52,이대리
C035,접수,2026-07-05 09:00,김주임
C035,검토,2026-07-05 10:58,김주임
C035,보완요청,2026-07-05 11:24,김주임
C035,재접수,2026-07-06 16:09,김주임
C035,검토,2026-07-06 19:05,김주임
C035,승인,2026-07-06 22:49,김주임
C035,통보,2026-07-06 23:19,김주임
C036,접수,2026-06-01 15:00,박과장
C036,검토,2026-06-01 17:16,박과장
C036,보완요청,2026-06-01 18:44,박과장
C036,재접수,2026-06-02 00:11,박과장
C036,검토,2026-06-02 02:18,박과장
C036,승인,2026-06-02 04:23,박과장
C036,통보,2026-06-02 04:59,박과장
C037,접수,2026-06-16 14:00,김주임
C037,검토,2026-06-16 16:48,김주임
C037,승인,2026-06-16 17:56,김주임
C037,통보,2026-06-16 18:21,김주임
C038,접수,2026-06-29 15:00,김주임
C038,검토,2026-06-29 15:43,김주임
C038,승인,2026-06-29 18:39,김주임
C038,통보,2026-06-29 19:02,김주임
C039,접수,2026-07-02 12:00,박과장
C039,검토,2026-07-02 15:35,박과장
C039,보완요청,2026-07-02 16:02,박과장
C039,재접수,2026-07-03 02:49,박과장
C039,검토,2026-07-03 04:37,박과장
C039,보완요청,2026-07-03 05:53,박과장
C039,재접수,2026-07-03 20:58,박과장
C039,검토,2026-07-03 21:36,박과장
C039,승인,2026-07-03 23:17,박과장
C039,통보,2026-07-03 23:58,박과장
C040,접수,2026-06-28 13:00,이대리
C040,검토,2026-06-28 15:47,이대리
C040,승인,2026-06-28 17:43,이대리
C040,통보,2026-06-28 18:30,이대리
C041,접수,2026-06-11 09:00,김주임
C041,검토,2026-06-11 10:24,김주임
C041,승인,2026-06-11 14:52,김주임
C041,통보,2026-06-11 15:05,김주임
C042,접수,2026-06-12 14:00,박과장
C042,검토,2026-06-12 14:48,박과장
C042,보완요청,2026-06-12 15:34,박과장
C042,재접수,2026-06-13 06:48,박과장
C042,검토,2026-06-13 08:06,박과장
C042,승인,2026-06-13 12:35,박과장
C042,통보,2026-06-13 13:07,박과장
C043,접수,2026-06-01 11:00,박과장
C043,검토,2026-06-01 12:46,박과장
C043,보완요청,2026-06-01 13:54,박과장
C043,재접수,2026-06-02 11:15,박과장
C043,검토,2026-06-02 13:57,박과장
C043,승인,2026-06-02 16:56,박과장
C043,통보,2026-06-02 17:17,박과장
C044,접수,2026-06-13 09:00,김주임
C044,검토,2026-06-13 10:52,김주임
C044,보완요청,2026-06-13 12:05,김주임
C044,재접수,2026-06-13 23:13,김주임
C044,검토,2026-06-14 02:10,김주임
C044,승인,2026-06-14 03:19,김주임
C044,통보,2026-06-14 03:48,김주임
C045,접수,2026-07-09 13:00,김주임
C045,검토,2026-07-09 13:47,김주임
C045,승인,2026-07-09 15:30,김주임
C045,통보,2026-07-09 16:20,김주임
C046,접수,2026-06-17 12:00,박과장
C046,검토,2026-06-17 14:27,박과장
C046,보완요청,2026-06-17 15:24,박과장
C046,재접수,2026-06-18 09:17,박과장
C046,검토,2026-06-18 12:25,박과장
C046,보완요청,2026-06-18 13:27,박과장
C046,재접수,2026-06-19 04:24,박과장
C046,검토,2026-06-19 07:11,박과장
C046,승인,2026-06-19 10:48,박과장
C046,통보,2026-06-19 11:44,박과장
C047,접수,2026-06-17 12:00,이대리
C047,검토,2026-06-17 14:23,이대리
C047,승인,2026-06-17 16:44,이대리
C047,통보,2026-06-17 16:57,이대리
C048,접수,2026-06-14 13:00,이대리
C048,검토,2026-06-14 13:49,이대리
C048,승인,2026-06-14 18:02,이대리
C048,통보,2026-06-14 19:02,이대리
C049,접수,2026-06-22 15:00,이대리
C049,검토,2026-06-22 15:49,이대리
C049,승인,2026-06-22 19:49,이대리
C049,통보,2026-06-22 20:20,이대리
C050,접수,2026-07-07 15:00,김주임
C050,검토,2026-07-07 17:25,김주임
C050,승인,2026-07-07 20:17,김주임
C050,통보,2026-07-07 21:13,김주임
C051,접수,2026-06-23 10:00,김주임
C051,검토,2026-06-23 11:14,김주임
C051,보완요청,2026-06-23 12:43,김주임
C051,재접수,2026-06-23 21:53,김주임
C051,검토,2026-06-23 23:15,김주임
C051,보완요청,2026-06-24 00:40,김주임
C051,재접수,2026-06-25 03:46,김주임
C051,검토,2026-06-25 06:57,김주임
C051,승인,2026-06-25 10:14,김주임
C051,통보,2026-06-25 10:56,김주임
C052,접수,2026-07-04 13:00,김주임
C052,검토,2026-07-04 14:10,김주임
C052,보완요청,2026-07-04 15:02,김주임
C052,재접수,2026-07-04 22:20,김주임
C052,검토,2026-07-04 23:01,김주임
C052,승인,2026-07-05 00:13,김주임
C052,통보,2026-07-05 00:33,김주임
C053,접수,2026-06-29 10:00,박과장
C053,검토,2026-06-29 12:31,박과장
C053,보완요청,2026-06-29 13:22,박과장
C053,재접수,2026-06-30 06:54,박과장
C053,검토,2026-06-30 08:09,박과장
C053,승인,2026-06-30 10:03,박과장
C053,통보,2026-06-30 10:32,박과장
C054,접수,2026-06-27 15:00,김주임
C054,검토,2026-06-27 15:47,김주임
C054,보완요청,2026-06-27 16:32,김주임
C054,재접수,2026-06-28 01:00,김주임
C054,검토,2026-06-28 04:41,김주임
C054,승인,2026-06-28 08:48,김주임
C054,통보,2026-06-28 09:44,김주임
C055,접수,2026-06-02 13:00,김주임
C055,검토,2026-06-02 15:14,김주임
C055,보완요청,2026-06-02 15:46,김주임
C055,재접수,2026-06-03 00:22,김주임
C055,검토,2026-06-03 02:33,김주임
C055,승인,2026-06-03 04:10,김주임
C055,통보,2026-06-03 04:39,김주임
C056,접수,2026-06-06 13:00,박과장
C056,검토,2026-06-06 14:00,박과장
C056,보완요청,2026-06-06 15:22,박과장
C056,재접수,2026-06-08 00:35,박과장
C056,검토,2026-06-08 02:43,박과장
C056,승인,2026-06-08 07:16,박과장
C056,통보,2026-06-08 07:32,박과장
C057,접수,2026-07-04 15:00,이대리
C057,검토,2026-07-04 18:29,이대리
C057,승인,2026-07-04 22:35,이대리
C057,통보,2026-07-04 23:28,이대리
C058,접수,2026-06-23 12:00,김주임
C058,검토,2026-06-23 13:21,김주임
C058,보완요청,2026-06-23 13:42,김주임
C058,재접수,2026-06-24 19:35,김주임
C058,검토,2026-06-24 21:27,김주임
C058,승인,2026-06-25 01:21,김주임
C058,통보,2026-06-25 01:47,김주임
C059,접수,2026-06-26 14:00,김주임
C059,검토,2026-06-26 14:52,김주임
C059,승인,2026-06-26 18:37,김주임
C059,통보,2026-06-26 18:57,김주임
C060,접수,2026-06-11 14:00,박과장
C060,검토,2026-06-11 14:51,박과장
C060,보완요청,2026-06-11 16:02,박과장
C060,재접수,2026-06-13 00:02,박과장
C060,검토,2026-06-13 01:57,박과장
C060,보완요청,2026-06-13 02:55,박과장
C060,재접수,2026-06-14 03:57,박과장
C060,검토,2026-06-14 07:12,박과장
C060,승인,2026-06-14 12:02,박과장
C060,통보,2026-06-14 12:37,박과장
